freq_a,freq_b,gap,omega_a,omega_b,method,mean_rel_err
2,45,43,4,47,complex_scalar,0.9991732
2,45,43,4,47,diag_complex,0.99986965
2,46,44,4,48,identity,9.810695
2,46,44,4,48,real_scalar,1.0000164
2,46,44,4,48,complex_scalar,0.99915251
2,46,44,4,48,diag_complex,0.99971243
2,47,45,4,49,identity,10.075866
2,47,45,4,49,real_scalar,1.0000219
2,47,45,4,49,complex_scalar,0.99911646
2,47,45,4,49,diag_complex,0.99928892
2,48,46,4,50,identity,10.127884
2,48,46,4,50,real_scalar,1.0000212
2,48,46,4,50,complex_scalar,0.999052
2,48,46,4,50,diag_complex,0.99890699
2,49,47,4,51,identity,10.22016
2,49,47,4,51,real_scalar,1.0000076
2,49,47,4,51,complex_scalar,0.99893365
2,49,47,4,51,diag_complex,0.9988949
2,50,48,4,52,identity,10.323299
2,50,48,4,52,real_scalar,0.99997777
2,50,48,4,52,complex_scalar,0.99885651
2,50,48,4,52,diag_complex,0.9989354
3,4,1,5,6,identity,0.41024769
3,4,1,5,6,real_scalar,0.35247758
3,4,1,5,6,complex_scalar,0.21059634
3,4,1,5,6,diag_complex,0.16922639
3,5,2,5,7,identity,0.84297613
3,5,2,5,7,real_scalar,0.66753776
3,5,2,5,7,complex_scalar,0.43186547
3,5,2,5,7,diag_complex,0.35111385
3,6,3,5,8,identity,1.2678532
3,6,3,5,8,real_scalar,0.87667105
3,6,3,5,8,complex_scalar,0.62471102
3,6,3,5,8,diag_complex,0.51668997
3,7,4,5,9,identity,1.6156746
3,7,4,5,9,real_scalar,0.96230372
3,7,4,5,9,complex_scalar,0.75268177
3,7,4,5,9,diag_complex,0.64017851
3,8,5,5,10,identity,1.8436006
3,8,5,5,10,real_scalar,0.99152822
3,8,5,5,10,complex_scalar,0.83317567
3,8,5,5,10,diag_complex,0.73471338
3,9,6,5,11,identity,2.0139646
3,9,6,5,11,real_scalar,1.0003545
3,9,6,5,11,complex_scalar,0.89407451
3,9,6,5,11,diag_complex,0.81309506
3,10,7,5,12,identity,2.2279799
3,10,7,5,12,real_scalar,0.99964238
3,10,7,5,12,complex_scalar,0.94028006
3,10,7,5,12,diag_complex,0.87260014
3,11,8,5,13,identity,2.381114
3,11,8,5,13,real_scalar,1.000484
3,11,8,5,13,complex_scalar,0.96399144
3,11,8,5,13,diag_complex,0.91304182
3,12,9,5,14,identity,2.4049155
3,12,9,5,14,real_scalar,1.0004662
3,12,9,5,14,complex_scalar,0.97251277
3,12,9,5,14,diag_complex,0.9381834
3,13,10,5,15,identity,2.505473
3,13,10,5,15,real_scalar,0.99956078
3,13,10,5,15,complex_scalar,0.97707447
3,13,10,5,15,diag_complex,0.94932558
3,14,11,5,16,identity,2.7276948
3,14,11,5,16,real_scalar,0.99936478
3,14,11,5,16,complex_scalar,0.98228499
3,14,11,5,16,diag_complex,0.95321602
3,15,12,5,17,identity,2.8325909
3,15,12,5,17,real_scalar,0.99980102
3,15,12,5,17,complex_scalar,0.98528729
3,15,12,5,17,diag_complex,0.95782662
3,16,13,5,18,identity,2.8501527
3,16,13,5,18,real_scalar,0.99926578
3,16,13,5,18,complex_scalar,0.98609905
3,16,13,5,18,diag_complex,0.96191372
3,17,14,5,19,identity,3.0513236
3,17,14,5,19,real_scalar,0.99840412
3,17,14,5,19,complex_scalar,0.98889103
3,17,14,5,19,diag_complex,0.96723258
3,18,15,5,20,identity,3.2552003
3,18,15,5,20,real_scalar,0.99885376
3,18,15,5,20,complex_scalar,0.99198927
